Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2021,2022,2023,2024,Estimates Start After
Italy,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",106.186,109.382,116.205,118.804,2022
Italy,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","28,519.98","29,592.90","29,805.98","30,053.07",2021
Japan,"Gross domestic product, constant prices",National currency,Billions,"Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2022 Notes: the recent revision didn t go back pre-1994 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Japanese yen Data last updated: 03/2023","540,236.90","546,045.48","553,156.54","558,792.23",2022
Japan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.145,1.075,1.302,1.019,2022
Japan,"Gross domestic product, current prices",National currency,Billions,"Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2022 Notes: the recent revision didn t go back pre-1994 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Japanese yen Data last updated: 03/2023","549,379.30","556,702.38","585,606.12","607,089.54",2022
Japan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","5,005.54","4,233.54","4,409.74","4,526.48",2022
Japan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","5,675.96","6,138.91","6,456.53","6,666.78",2022
Japan,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",101.692,101.952,105.866,108.643,2022
Japan,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","4,304,438.99","4,362,382.62","4,438,695.10","4,504,941.62",2021
United Kingdom,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2019 Chain-weighted: Yes, from before 1980 Primary domestic currency: British pound Data last updated: 03/2023","2,142.74","2,229.42","2,223.83","2,245.02",2022
United Kingdom,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.597,4.045,-0.251,0.953,2022
United Kingdom,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2019 Chain-weighted: Yes, from before 1980 Primary domestic currency: British pound Data last updated: 03/2023","2,270.25","2,482.13","2,600.45","2,706.98",2022
United Kingdom,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","3,123.23","3,070.60","3,158.94","3,375.22",2022
United Kingdom,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","3,336.47","3,714.64","3,846.93","3,969.61",2022
United Kingdom,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",105.951,111.335,116.936,120.577,2022
United Kingdom,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","31,848.22","32,886.47","32,644.55","32,805.50",2020
United States,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Real Gross Domestic Product determined by chained Fisher quantity growth rates. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes, from 1980 Primary domestic currency: US dollar Data last updated: 03/2023","19,609.80","20,015.40","20,331.03","20,547.07",2022
United States,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.947,2.068,1.577,1.063,2022
United States,"Gross domestic product, current prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Real Gross Domestic Product determined by chained Fisher quantity growth rates. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes, from 1980 Primary domestic currency: US dollar Data last updated: 03/2023","23,315.08","25,464.48","26,854.60","27,741.12",2022
United States,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","23,315.08","25,464.48","26,854.60","27,741.12",2022
United States,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","23,315.08","25,464.48","26,854.60","27,741.12",2022
United States,"Gross domestic product, deflator",Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",118.895,127.224,132.087,135.013,2022
United States,"Gross domestic product per capita, constant prices",National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","59,009.85","60,010.88","60,592.44","60,832.50",2021
,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, April 2023",,,,,,,,,
